Commitment_Amount_INR_Cr,Commitment_Letter__Conclusion,Current_Status,Date_of_first_meeting__call,Due_Diligence__Queries,FeelerTeaserLetter_Sent,Initial_Appraisal__Evaluation_process_started,Initial__Final_Drawdown,Investor_Type,Meetings__Detailed_DiscussionsIM_Sent,Notes,Organisation,Reference,Responsibility_TNIFMC,Status_Open__Closed,TNIFMC_Request_INR_Cr
0,False,,1725148800000,False,True,True,False,Corporates,True,,NLC,Propreitory,Satish S,Open,50
0,False,,1703894400000,False,True,True,False,HNIs / Family Offices,True,,Novo Holdings,Propreitory,Krishna Chaitanya K,Closed / Deferred,100
0,False,,1725148800000,False,True,True,False,PSU Banks / PFIs,True,,NSIC Ventures,Propreitory,Krishna Chaitanya K,Open,50
0,False,,1703894400000,False,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,,Oesterreichische Entwicklungs Bank,Propreitory,Krishna Chaitanya K,Open,80
0,False,,1685577600000,False,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,,ONTARIO TEACHERS PENSION PLAN,Propreitory,Krishna Chaitanya K,Open,80
0,False,,1717200000000,False,True,True,False,PSU Banks / PFIs,True,0,PFC,SBI Caps,Satish S,Open,0
0,False,,1725148800000,False,True,True,False,PSU Banks / PFIs,True,,PNB,Propreitory,Krishna Chaitanya K,Closed / Deferred,50
0,False,,1685577600000,False,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,"Spoke to Ms. Niharika, Investment Officer, Proparco. Shared our deck",Proparco Groupe AFD,SBI Caps,Satish S,Open,50
0,False,,1681257600000,False,True,True,False,PSU Banks / PFIs,True,,Punjab National Bank,SKC,Krishna Chaitanya K,Open,25
0,False,Meet Mr. Padma Kumar,1731369600000,False,True,True,False,Corporates,True,,Saint Gobain,Propreitory,K. Ganapathy Subramanian,Open,0
0,False,,1703894400000,False,True,True,False,PSU Banks / PFIs,True,0,SBI,SBI Caps,K. Ganapathy Subramanian,Open,100
0,False,,1725148800000,False,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,,SBI Cap Ventures - UK FCDO,Propreitory,Krishna Chaitanya K,Inv / Credit Committee,300
0,False,,1703894400000,False,True,True,False,Domestic Pension Funds / Insurance Companies/MFs,True,0,SBI Mutual Fund,SBI Caps,K. Ganapathy Subramanian,Open,25
0,False,,1717200000000,False,True,True,False,Domestic Pension Funds / Insurance Companies/MFs,True,0,SBI Pension Fund,SBI Caps,K. Ganapathy Subramanian,Open,0
0,False,,1685577600000,False,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,,SNS Group - Family Office,Propreitory,Krishna Chaitanya K,Open,25
0,False,,1682899200000,False,True,True,False,Private Sector / Foreign  Banks in India / NBFCs,True,"Call set up for June 2, 2023",South Indian Bank,CFM,K. Ganapathy Subramanian,Declined,10
0,False,,1685577600000,False,True,True,False,PSU Banks / PFIs,True,0,Uco Bank,CFM,K. Ganapathy Subramanian,Declined,10
0,False,,1725148800000,False,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,,World Bank,Government,Krishna Chaitanya K,Closed / Deferred,0
